timing,simulator,obstacles,agents,k_neighbor,map_name,delay_start,delay_interval,delay_ratio,delay_type,makespan,soc,total_time,makespan_time,feasibility,cycle,execution_time,first_agent_arriving,cycle_count,cycle_agents,unblocked_agents,feasibility_count,feasibility_type_a,feasibility_type_b,feasibility_type_c,average_timestep_time,average_feasibility_time,average_cycle_time,average_feasibility_unsettled,average_feasibility_loop,average_feasibility_topo,average_feasibility_recursion,makespan_lower,makespan_upper,soc_lower,soc_upper,average_timestep_time_lower,average_timestep_time_upper,makespan_time_lower,makespan_time_upper,partial_replan_count,partial_replan_time,full_replan_count,full_replan_time,data_points,all_node_pairs,fixed_node_pairs,added_node_pairs
continuous,online,90,20,2,random,0,0,0.1,agent,40.84232804232804,20.811005291005287,0.4988523777777778,0.012041160938207151,heuristic,proposed,0.28897561174603176,5.421164021164021,5.421164021164021,106.63068783068783,106.39259259259259,6.95026455026455,0,0,0,0.052600341724841876,0.04112418570376067,0.052600341724841876,0.0,0.0,0.0,0.0,40.494462749280764,41.19019333537532,20.66793442730103,20.954076154709544,0.05056033681556769,0.054640346634116065,0.01156312673910503,0.012519195137309272,0,0,0,0,945,,,
continuous,snapshot_end,90,20,2,random,0,0,0.1,agent,40.84232804232804,20.805714285714288,0.10633891925925927,0.002584265829293341,heuristic,proposed,0.003086643386243386,5.421164021164021,0.0,0.0,0.0,0.0,0,0,0,0.0005619252191018857,0.0,0.0,0.0,0.0,0.0,0.0,40.49297664183845,41.19167944281763,20.663038004847856,20.94839056658072,0.000556159736829257,0.0005676907013745145,0.002503240796083008,0.0026652908625036742,0,0,0,0,945,0.0,0.0,0.0
continuous,online_remove_redundant_physical,90,20,2,random,0,0,0.1,agent,40.84232804232804,20.811005291005287,0.05471315142857143,0.0013252489536821881,heuristic,proposed,0.026912541164021166,5.421164021164021,5.421164021164021,106.63068783068783,106.39259259259259,6.95026455026455,0,0,0,0.004919702611501961,0.0038589174459461757,0.004919702611501961,0.0,0.0,0.0,0.0,40.494462749280764,41.19019333537532,20.66793442730103,20.954076154709544,0.004749923692423192,0.005089481530580729,0.0012826347760592537,0.0013678631313051226,0,0,0,0,945,1214.398941798942,48.93333333333333,150.73439153439153
continuous,online_remove_redundant_graph,90,20,2,random,0,0,0.1,agent,40.84232804232804,20.811005291005287,0.054305924656084664,0.0013143557509152372,heuristic,proposed,0.026588031322751324,5.421164021164021,5.421164021164021,106.63068783068783,106.39259259259259,6.95026455026455,0,0,0,0.004862594368826354,0.003819038354731688,0.004862594368826354,0.0,0.0,0.0,0.0,40.494462749280764,41.19019333537532,20.66793442730103,20.954076154709544,0.004691246679875689,0.005033942057777018,0.0012712100516495308,0.0013575014501809436,0,0,0,0,945,1214.398941798942,48.93333333333333,143.85396825396825
continuous,online,90,20,2,random,0,1,0.1,agent,46.143622722400856,23.318006430868163,0.5382299817792069,0.0115002686637409,heuristic,proposed,0.31128510675241156,5.921757770632369,5.921757770632369,106.38370846730976,115.70632368703109,7.627009646302251,0,0,0,0.05179253457422981,0.040181818325565534,0.05179253457422981,0.0,0.0,0.0,0.0,45.72637183647684,46.560873608324876,23.154934903738273,23.481077957998053,0.0497512854369955,0.05383378371146412,0.011031905222342951,0.011968632105138849,0,0,0,0,933,,,
continuous,snapshot_end,90,20,2,random,0,1,0.1,agent,46.27652733118971,23.38767416934619,0.10548307770632369,0.0022643233735949874,heuristic,proposed,0.0031227299035369777,5.92604501607717,0.0,0.0,0.0,0.0,0,0,0,0.0005213963625140192,0.0,0.0,0.0,0.0,0.0,0.0,45.85911777010725,46.69393689227218,23.22413145439414,23.551216884298242,0.0005157757645310916,0.0005270169604969467,0.0021934624964879855,0.0023351842507019892,0,0,0,0,933,0.0,0.0,0.0
continuous,online_remove_redundant_physical,90,20,2,random,0,1,0.1,agent,46.143622722400856,23.318006430868163,0.07308340878885317,0.0015750924056473002,heuristic,proposed,0.03678425541264737,5.921757770632369,5.921757770632369,106.38370846730976,115.70632368703109,7.627009646302251,0,0,0,0.006040608122344638,0.004744847509830207,0.006040608122344638,0.0,0.0,0.0,0.0,45.72637183647684,46.560873608324876,23.154934903738273,23.481077957998053,0.005649751238648157,0.006431465006041119,0.001470235926159955,0.0016799488851346454,0,0,0,0,933,1207.7138263665595,48.89710610932476,149.91639871382637
continuous,online_remove_redundant_graph,90,20,2,random,0,1,0.1,agent,46.143622722400856,23.318006430868163,0.07303363118971061,0.0015717343686743443,heuristic,proposed,0.0364707884244373,5.921757770632369,5.921757770632369,106.38370846730976,115.70632368703109,7.627009646302251,0,0,0,0.0060323212286860165,0.004741596054764141,0.0060323212286860165,0.0,0.0,0.0,0.0,45.72637183647684,46.560873608324876,23.154934903738273,23.481077957998053,0.005651756476079562,0.006412885981292471,0.0014700372847505905,0.001673431452598098,0,0,0,0,933,1207.7138263665595,48.89710610932476,143.04930332261523
continuous,online,90,20,2,random,0,10,0.1,agent,53.04978354978355,24.6857683982684,0.5530123777056277,0.010342139783731953,heuristic,proposed,0.3008439633116883,5.612554112554113,5.612554112554113,100.35281385281385,109.17857142857143,7.365800865800866,0,0,0,0.05294053859147318,0.04108189507028881,0.05294053859147318,0.0,0.0,0.0,0.0,52.4101163043138,53.68945079525329,24.499183740628286,24.872353055908516,0.05080072591649018,0.055080351266456176,0.009915902551931673,0.010768377015532233,0,0,0,0,924,,,
continuous,snapshot_end,90,20,2,random,0,10,0.1,agent,55.83982683982684,26.14761904761905,0.10534420768398267,0.0018908809281561068,heuristic,proposed,0.002952284307359307,5.627705627705628,0.0,0.0,0.0,0.0,0,0,0,0.0005224451365056689,0.0,0.0,0.0,0.0,0.0,0.0,55.17396451874509,56.505689160908595,25.92317679734753,26.372061297890568,0.0005164668818452634,0.0005284233911660744,0.001830283153917329,0.0019514787023948846,0,0,0,0,924,0.0,0.0,0.0
continuous,online_remove_redundant_physical,90,20,2,random,0,10,0.1,agent,53.04978354978355,24.6857683982684,0.07475072694805193,0.0013995901979542088,heuristic,proposed,0.034738558008658,5.612554112554113,5.612554112554113,100.35281385281385,109.17857142857143,7.363636363636363,0,0,0,0.0060887259433523525,0.004747295007980952,0.0060887259433523525,0.0,0.0,0.0,0.0,52.4101163043138,53.68945079525329,24.499183740628286,24.872353055908516,0.005688279730913833,0.006489172155790872,0.0013066911722011288,0.0014924892237072889,0,0,0,0,924,1202.8506493506493,48.80844155844156,149.3181818181818
continuous,online_remove_redundant_graph,90,20,2,random,0,10,0.1,agent,53.04978354978355,24.6857683982684,0.07276329145021646,0.0013552929512500311,heuristic,proposed,0.03409307121212122,5.612554112554113,5.612554112554113,100.35281385281385,109.17857142857143,7.363636363636363,0,0,0,0.005909587582242882,0.004611887518633944,0.005909587582242882,0.0,0.0,0.0,0.0,52.4101163043138,53.68945079525329,24.499183740628286,24.872353055908516,0.005513780057668772,0.006305395106816993,0.001265821038862011,0.0014447648636380513,0,0,0,0,924,1202.8506493506493,48.80844155844156,142.4707792207792
continuous,online,90,20,2,random,0,20,0.1,agent,63.56554712892741,26.3624593716143,0.5630203661971831,0.009006558847672977,heuristic,proposed,0.3001409931744312,5.605633802816901,5.605633802816901,100.2296858071506,109.04875406283857,7.342361863488624,0,0,0,0.05299793071552153,0.04114665387707256,0.05299793071552153,0.0,0.0,0.0,0.0,62.593714636900934,64.53737962095389,26.107297958300673,26.617620784927926,0.05085486237630803,0.05514099905473503,0.008623259127486887,0.009389858567859066,0,0,0,0,923,,,
continuous,snapshot_end,90,20,2,random,0,20,0.1,agent,70.22751895991333,30.163434452871073,0.1050298437703142,0.001531697941551322,heuristic,proposed,0.002944000866738895,5.61863488624052,0.0,0.0,0.0,0.0,0,0,0,0.0005207743064132668,0.0,0.0,0.0,0.0,0.0,0.0,69.15843359368523,71.29660432614142,29.79031606205085,30.536552843691297,0.0005149057121610959,0.0005266429006654378,0.0014796267465641694,0.0015837691365384746,0,0,0,0,923,0.0,0.0,0.0
continuous,online_remove_redundant_physical,90,20,2,random,0,20,0.1,agent,63.56554712892741,26.3624593716143,0.07295557768147347,0.0011503572778284417,heuristic,proposed,0.03371019360780065,5.605633802816901,5.605633802816901,100.2296858071506,109.04875406283857,7.3401950162513545,0,0,0,0.005726913611350145,0.0044647342736598445,0.005726913611350145,0.0,0.0,0.0,0.0,62.593714636900934,64.53737962095389,26.107297958300673,26.617620784927926,0.005351403800834571,0.0061024234218657195,0.0010744338038090172,0.0012262807518478662,0,0,0,0,923,1202.6663055254605,48.806067172264356,149.2979414951246
continuous,online_remove_redundant_graph,90,20,2,random,0,20,0.1,agent,63.56554712892741,26.3624593716143,0.07241583564463705,0.001140901503015008,heuristic,proposed,0.03352107703141929,5.605633802816901,5.605633802816901,100.2296858071506,109.04875406283857,7.3401950162513545,0,0,0,0.005697058652671654,0.004442615141655223,0.005697058652671654,0.0,0.0,0.0,0.0,62.593714636900934,64.53737962095389,26.107297958300673,26.617620784927926,0.005319444919963875,0.006074672385379434,0.001064323084659543,0.001217479921370473,0,0,0,0,923,1202.6663055254605,48.806067172264356,142.44528710725893
continuous,online,90,20,3,random,0,0,0.1,agent,32.63785031512605,17.583156092436976,0.47778274611344534,0.014330094536855539,heuristic,proposed,0.23967126964285712,4.55983681722689,13.453781512605042,81.85714285714286,260.81197478991595,14.892857142857142,0,0,0,0.047135288590892735,0.015823247428428097,0.01873686754823393,0.0,0.0,0.0,0.0,32.42591651423997,32.84978411601213,17.474876046092525,17.691436138781427,0.04504871286240538,0.04922186431938009,0.013677172628706826,0.014983016445004252,0,0,0,0,952,,,
continuous,snapshot_end,90,20,3,random,0,0,0.1,agent,32.876350525210086,17.58830388655462,0.04466686743697479,0.001344766599101056,heuristic,proposed,0.001839955987394958,4.530126418067226,0.0,0.0,0.0,0.0,0,0,0,0.0004051113359433384,0.0,0.0,0.0,0.0,0.0,0.0,32.653705186207866,33.098995864212306,17.480704814793196,17.695902958316044,0.0004005357950801515,0.0004096868768065253,0.0013043124860088746,0.0013852207121932373,0,0,0,0,952,0.0,0.0,0.0
continuous,online_remove_redundant_physical,90,20,3,random,0,0,0.1,agent,32.63785031512605,17.583156092436976,0.045476448634453784,0.0013673140636276868,heuristic,proposed,0.020349963655462183,4.55983681722689,13.453781512605042,81.85714285714286,260.81197478991595,14.892857142857142,0,0,0,0.004002864505771066,0.0013376260510538733,0.001589828842167227,0.0,0.0,0.0,0.0,32.42591651423997,32.84978411601213,17.474876046092525,17.691436138781427,0.003831281677437453,0.004174447334104678,0.001312463382203119,0.0014221647450522546,0,0,0,0,952,641.4191176470588,35.4422268907563,83.02100840336135
continuous,online_remove_redundant_graph,90,20,3,random,0,0,0.1,agent,32.63785031512605,17.583156092436976,0.044818195063025215,0.0013467749576201314,heuristic,proposed,0.020183995273109243,4.55983681722689,13.453781512605042,81.85714285714286,260.81197478991595,14.892857142857142,0,0,0,0.003964542836050948,0.0013237103280082153,0.0015731938936988216,0.0,0.0,0.0,0.0,32.42591651423997,32.84978411601213,17.474876046092525,17.691436138781427,0.0037935204891944557,0.00413556518290744,0.0012921729222750327,0.0014013769929652302,0,0,0,0,952,641.4191176470588,35.4422268907563,78.2531512605042
