timing,simulator,obstacles,agents,k_neighbor,map_name,delay_start,delay_interval,delay_ratio,delay_type,makespan,soc,total_time,makespan_time,feasibility,cycle,execution_time,first_agent_arriving,cycle_count,cycle_agents,unblocked_agents,feasibility_count,feasibility_type_a,feasibility_type_b,feasibility_type_c,average_timestep_time,average_feasibility_time,average_cycle_time,average_feasibility_unsettled,average_feasibility_loop,average_feasibility_topo,average_feasibility_recursion,makespan_lower,makespan_upper,soc_lower,soc_upper,average_timestep_time_lower,average_timestep_time_upper,makespan_time_lower,makespan_time_upper,partial_replan_count,partial_replan_time,full_replan_count,full_replan_time,data_points,all_node_pairs,fixed_node_pairs,added_node_pairs
discrete,online_opt,90,10,2,random,0,0,0.1,agent,35.0,20.003,0.00125664548,3.524417487371266e-05,heuristic,proposed,0.000677765525,7.36,6.77,16.47,73.0,6.91,0,0,0,8.906997064282742e-05,9.226331041311745e-05,9.379684892398156e-05,0.0,0.0,0.0,0.0,34.6661195577436,35.3338804422564,19.79097115666837,20.21502884333163,8.467586629900033e-05,9.346407498665453e-05,3.385826359096696e-05,3.6630086156458365e-05,0.0,0.0,0.0,0.0,1000,,,
discrete,default,90,10,2,random,0,0,0.1,agent,34.98,20.0,0.000107925937,3.1067932555252746e-06,heuristic,proposed,0.0,7.35,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.64820648295615,35.311793517043846,19.787919268822943,20.212080731177057,0.0,0.0,3.0175457648613333e-06,3.196040746189216e-06,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0
discrete,pibt,90,10,2,random,0,0,0.1,agent,34.98,19.998,0.001189736739,3.4387020464061944e-05,heuristic,proposed,0.000497867576,20.34,0.0,0.0,0.0,0.0,0,0,0,2.5042725486402665e-05,0.0,0.0,0.0,0.0,0.0,0.0,34.64820648295615,35.311793517043846,19.78635232030953,20.209647679690477,2.4603786865921892e-05,2.5481664106883437e-05,3.393654362934067e-05,3.483749729878322e-05,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0
discrete,replan_1.1,90,10,2,random,0,0,0.1,agent,34.98,20.0,0.000108399523,3.120755378427358e-06,heuristic,proposed,0.0,7.35,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.64820648295615,35.311793517043846,19.787919268822943,20.212080731177057,0.0,0.0,3.08763101595682e-06,3.1538797408978966e-06,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0
discrete,online_opt,90,10,2,random,0,0,0.3,agent,35.0,20.003,0.001246723239,3.51376530025122e-05,heuristic,proposed,0.000670053383,7.36,6.77,16.47,73.0,6.91,0,0,0,8.785579051050877e-05,9.127932888761516e-05,9.281575835351038e-05,0.0,0.0,0.0,0.0,34.6661195577436,35.3338804422564,19.79097115666837,20.21502884333163,8.366961994712338e-05,9.204196107389416e-05,3.377890321716479e-05,3.64964027878596e-05,0.0,0.0,0.0,0.0,1000,,,
discrete,default,90,10,2,random,0,0,0.3,agent,34.98,20.0,0.000105139064,3.033588433677284e-06,heuristic,proposed,0.0,7.35,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.64820648295615,35.311793517043846,19.787919268822943,20.212080731177057,0.0,0.0,2.959833528324645e-06,3.1073433390299224e-06,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0
discrete,pibt,90,10,2,random,0,0,0.3,agent,34.98,19.998,0.001208933268,3.485336265038553e-05,heuristic,proposed,0.000508520901,20.34,0.0,0.0,0.0,0.0,0,0,0,2.569940222264098e-05,0.0,0.0,0.0,0.0,0.0,0.0,34.64820648295615,35.311793517043846,19.78635232030953,20.209647679690477,2.4982013573754543e-05,2.641679087152741e-05,3.432294853883648e-05,3.538377676193458e-05,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0
discrete,replan_1.1,90,10,2,random,0,0,0.3,agent,34.98,20.0,0.0001093774309999,3.1560778268124867e-06,heuristic,proposed,0.0,7.35,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.64820648295615,35.311793517043846,19.787919268822943,20.212080731177057,0.0,0.0,3.108026008239093e-06,3.2041296453858805e-06,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0
discrete,online_opt,90,10,2,random,0,1,0.1,agent,39.265,22.373800000000003,0.001369073827,3.447782830527071e-05,heuristic,proposed,0.000705825884,8.033,7.254,16.45,79.331,7.636,0,0,0,8.73675124088088e-05,8.957388392761579e-05,9.313441005303206e-05,0.0,0.0,0.0,0.0,38.88433405270751,39.64566594729249,22.13279221164838,22.614807788351627,8.29860199180521e-05,9.17490048995655e-05,3.312027343767684e-05,3.583538317286458e-05,0.0,0.0,0.0,0.0,1000,,,
discrete,default,90,10,2,random,0,1,0.1,agent,39.316,22.4076,0.000170737589,4.365646088583504e-06,heuristic,proposed,0.0,8.028,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.94010614613181,39.6918938538682,22.16535069976635,22.649849300233647,0.0,0.0,4.331413918464622e-06,4.399878258702386e-06,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0
discrete,pibt,90,10,2,random,0,1,0.1,agent,39.57,22.471300000000003,0.001414247486,3.5770168529079755e-05,heuristic,proposed,0.000637193176,23.383,0.0,0.0,0.0,0.0,0,0,0,2.750333261083679e-05,0.0,0.0,0.0,0.0,0.0,0.0,39.153742570801406,39.9862574291986,22.224203712279184,22.71839628772082,2.69911090045489e-05,2.801555621712468e-05,3.540671006790241e-05,3.61336269902571e-05,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0
discrete,replan_1.1,90,10,2,random,0,1,0.1,agent,39.207,22.3659,0.1310978625999999,0.0033607852698648,heuristic,proposed,0.0351258880299999,8.044,0.0,0.0,0.0,0.0,0,0,0,0.0041127130302733,0.0,0.0,0.0,0.0,0.0,0.0,38.831106110240725,39.58289388975928,22.128281192771475,22.603518807228525,0.0040568166978328,0.0041686093627137,0.0033224610052381,0.0033991095344916,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0
discrete,online_opt,90,10,2,random,0,1,0.3,agent,51.476,28.9928,0.0015356621179999,2.9223198905642968e-05,heuristic,proposed,0.000814007673,10.059,8.493,16.533,98.826,9.102,0,0,0,7.849045938986385e-05,8.43993353106211e-05,8.842920660430536e-05,0.0,0.0,0.0,0.0,50.92924555283756,52.02275444716244,28.675742617098333,29.309857382901665,7.474158257041985e-05,8.223933620930785e-05,2.814872656721106e-05,3.0297671244074875e-05,0.0,0.0,0.0,0.0,1000,,,
discrete,default,90,10,2,random,0,1,0.3,agent,51.874,29.1928,0.000211370124,4.092454321848883e-06,heuristic,proposed,0.0,10.076,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.32735589703885,52.42064410296116,28.868711218741385,29.51688878125861,0.0,0.0,4.060290069681211e-06,4.1246185740165545e-06,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0
discrete,pibt,90,10,2,random,0,1,0.3,agent,52.301,29.2415,0.0015871149919999,3.029447082486624e-05,heuristic,proposed,0.000720711879,30.599,0.0,0.0,0.0,0.0,0,0,0,2.3876332730775183e-05,0.0,0.0,0.0,0.0,0.0,0.0,51.67385907653419,52.92814092346581,28.91066371346277,29.572336286537222,2.337202746884704e-05,2.4380637992703325e-05,2.9978289534315434e-05,3.061065211541705e-05,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0
discrete,replan_1.1,90,10,2,random,0,1,0.3,agent,51.327,28.9786,0.235389614,0.0046127888345897,heuristic,proposed,0.04576021105,10.064,0.0,0.0,0.0,0.0,0,0,0,0.0043246135552033,0.0,0.0,0.0,0.0,0.0,0.0,50.78171871434282,51.87228128565717,28.664770991632626,29.29242900836737,0.0042740505794,0.0043751765310065,0.0045776412728292,0.0046479363963501,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0
discrete,online_opt,90,10,2,random,0,10,0.1,agent,42.668,23.066,0.001357938235,3.175229992577859e-05,heuristic,proposed,0.0006942133569999,7.67,6.946,15.727,75.52,7.236,0,0,0,8.771154086268512e-05,9.084597699535724e-05,9.323996077110474e-05,0.0,0.0,0.0,0.0,42.108505280432,43.227494719568,22.812220241189188,23.31977975881081,8.367809445380825e-05,9.1744987271562e-05,3.054045237644916e-05,3.2964147475108024e-05,0.0,0.0,0.0,0.0,1000,,,
discrete,default,90,10,2,random,0,10,0.1,agent,43.975,23.7299,0.000124189984,2.87799239605992e-06,heuristic,proposed,0.0,7.67,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.39392800507465,44.55607199492536,23.452353592326546,24.00744640767345,0.0,0.0,2.8343682114705343e-06,2.921616580649305e-06,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0
discrete,pibt,90,10,2,random,0,10,0.1,agent,43.656,23.2609,0.001396567172,3.258010111331477e-05,heuristic,proposed,0.000586776502,24.074,0.0,0.0,0.0,0.0,0,0,0,2.485583283698965e-05,0.0,0.0,0.0,0.0,0.0,0.0,43.01564450162934,44.29635549837066,22.999171091589016,23.522628908410983,2.4425046967124103e-05,2.52866187068552e-05,3.2209496880590624e-05,3.295070534603892e-05,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0
discrete,replan_1.1,90,10,2,random,0,10,0.1,agent,42.542,22.9579,0.1549282798,0.0036361985615584,heuristic,proposed,0.03377326267,7.667,0.0,0.0,0.0,0.0,0,0,0,0.004144900393447,0.0,0.0,0.0,0.0,0.0,0.0,41.98035142824685,43.10364857175316,22.709508806632705,23.2062911933673,0.0040893273805639,0.0042004734063301,0.0035832319113942,0.0036891652117226,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0
discrete,online_opt,90,10,2,random,0,10,0.3,agent,69.368,32.9297,0.0017054446899999,2.476855073633543e-05,heuristic,proposed,0.000769587318,8.801,7.42,14.459,85.32,8.067,0,0,0,8.445821925134512e-05,9.10178562090371e-05,9.519814156075875e-05,0.0,0.0,0.0,0.0,68.25950168689344,70.47649831310655,32.53522896373568,33.32417103626432,8.027154992909429e-05,8.864488857359594e-05,2.3626681102149812e-05,2.5910420370521044e-05,0.0,0.0,0.0,0.0,1000,,,
discrete,default,90,10,2,random,0,10,0.3,agent,73.049,35.6373,0.000155787946,2.1976360753954585e-06,heuristic,proposed,0.0,8.988,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9147144992982,74.18328550070181,35.170683750964635,36.10391624903537,0.0,0.0,2.1633466271821324e-06,2.2319255236087847e-06,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0
