timing,simulator,obstacles,agents,k_neighbor,map_name,delay_start,delay_interval,delay_ratio,delay_type,makespan,soc,total_time,makespan_time,feasibility,cycle,execution_time,first_agent_arriving,cycle_count,cycle_agents,unblocked_agents,feasibility_count,feasibility_type_a,feasibility_type_b,feasibility_type_c,average_timestep_time,average_feasibility_time,average_cycle_time,average_feasibility_unsettled,average_feasibility_loop,average_feasibility_topo,average_feasibility_recursion,makespan_lower,makespan_upper,soc_lower,soc_upper,average_timestep_time_lower,average_timestep_time_upper,makespan_time_lower,makespan_time_upper,partial_replan_count,partial_replan_time,full_replan_count,full_replan_time,data_points,all_node_pairs,fixed_node_pairs,added_node_pairs
discrete,default,0,10,2,warehouse-10-20-10-2-1,0,0,0.1,agent,179.48,95.53000000000002,0.00065613012,3.6526087785300616e-06,heuristic,proposed,0.0,16.8,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.99035770464846,185.96964229535152,90.95633762373343,100.1036623762666,0.0,0.0,3.37784287200417e-06,3.9273746850559536e-06,0,0,0,0,50,0.0,0.0,0.0
discrete,pibt,0,10,2,warehouse-10-20-10-2-1,0,0,0.1,agent,179.48,95.55400000000002,0.0071086516,3.954650894501639e-05,heuristic,proposed,0.00408725232,121.58,0.0,0.0,0.0,0.0,0,0,0,3.394737916201952e-05,0.0,0.0,0.0,0.0,0.0,0.0,172.99035770464846,185.96964229535152,90.97123964361006,100.13676035638997,3.0153932041146516e-05,3.774082628289253e-05,3.545799534569029e-05,4.363502254434249e-05,0,0,0,0,50,0.0,0.0,0.0
discrete,online_opt,0,10,2,warehouse-10-20-10-2-1,0,0,0.1,agent,179.48,95.53000000000002,0.006026577,3.424047328597797e-05,heuristic,proposed,0.0013683832799999999,16.8,13.76,23.78,167.88,13.84,0,0,0,6.256951535387533e-05,7.569858738758518e-05,7.6207375089679e-05,0.0,0.0,0.0,0.0,172.99035770464846,185.96964229535152,90.95633762373343,100.1036623762666,4.529403786068956e-05,7.984499284706109e-05,2.704070666266724e-05,4.144023990928871e-05,0,0,0,0,50,,,
discrete,replan_1.1,0,10,2,warehouse-10-20-10-2-1,0,0,0.1,agent,179.48,95.53000000000002,0.0006961090199999999,3.901607095676412e-06,heuristic,proposed,0.0,16.8,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.99035770464846,185.96964229535152,90.95633762373343,100.1036623762666,0.0,0.0,3.6168016856163163e-06,4.186412505736507e-06,0,0,0,0,50,0.0,0.0,0.0
discrete,default,0,10,2,warehouse-10-20-10-2-1,0,1,0.1,agent,200.46,106.22400000000002,0.0010084178399999998,5.0698374046743465e-06,heuristic,proposed,0.0,18.86,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.1403142159208,207.77968578407922,101.09420359506343,111.3537964049366,0.0,0.0,4.760445128662928e-06,5.379229680685765e-06,0,0,0,0,50,0.0,0.0,0.0
discrete,pibt,0,10,2,warehouse-10-20-10-2-1,0,1,0.1,agent,203.26,106.66000000000003,0.0104262592,4.8854033629751324e-05,heuristic,proposed,0.0061272945,135.06,0.0,0.0,0.0,0.0,0,0,0,4.7121198291541456e-05,0.0,0.0,0.0,0.0,0.0,0.0,193.56855302691451,212.95144697308547,101.53150370568154,111.7884962943185,3.223958747407306e-05,6.200280910900985e-05,3.8552076290246845e-05,5.9155990969255804e-05,0,0,0,0,50,0.0,0.0,0.0
discrete,online_opt,0,10,2,warehouse-10-20-10-2-1,0,1,0.1,agent,200.42,106.18600000000002,0.0070771374,3.5836574476724424e-05,heuristic,proposed,0.00158742692,18.86,14.74,24.24,188.32,14.92,0,0,0,6.573644275066458e-05,8.325387305901325e-05,8.465192701375164e-05,0.0,0.0,0.0,0.0,193.11228612444856,207.72771387555142,101.06486913335499,111.30713086664505,4.8632841424804796e-05,8.284004407652436e-05,2.906754642983146e-05,4.260560252361739e-05,0,0,0,0,50,,,
discrete,replan_1.1,0,10,2,warehouse-10-20-10-2-1,0,1,0.1,agent,200.4,106.226,3.8196636,0.019153624758826496,heuristic,proposed,0.39759388800000006,18.86,0.0,0.0,0.0,0.0,0,0,0,0.018680476361617994,0.0,0.0,0.0,0.0,0.0,0.0,193.04061047316296,207.75938952683705,101.10989659020385,111.34210340979615,0.01692982121190808,0.02043113151132791,0.018187916054166725,0.020119333463486266,0,0,0,0,50,0.0,0.0,0.0
discrete,default,0,10,2,warehouse-10-20-10-2-1,0,10,0.1,agent,200.76,107.42199999999998,0.0007297231000000001,3.6637889215776726e-06,heuristic,proposed,0.0,18.94,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.58833097657399,207.931669023426,102.27993494095381,112.56406505904616,0.0,0.0,3.375797844324644e-06,3.951779998830701e-06,0,0,0,0,50,0.0,0.0,0.0
discrete,pibt,0,10,2,warehouse-10-20-10-2-1,0,10,0.1,agent,207.1,108.07,0.0109649878,4.9297550403531826e-05,heuristic,proposed,0.006475858359999999,136.34,0.0,0.0,0.0,0.0,0,0,0,4.7235005508351504e-05,0.0,0.0,0.0,0.0,0.0,0.0,196.80735326712193,217.39264673287806,102.79095530543003,113.34904469456995,3.0342060963915206e-05,6.41279500527878e-05,3.5722271763420586e-05,6.287282904364307e-05,0,0,0,0,50,0.0,0.0,0.0
