timing,simulator,obstacles,agents,k_neighbor,map_name,delay_start,delay_interval,delay_ratio,delay_type,makespan,soc,total_time,makespan_time,feasibility,cycle,execution_time,first_agent_arriving,cycle_count,cycle_agents,unblocked_agents,feasibility_count,feasibility_type_a,feasibility_type_b,feasibility_type_c,average_timestep_time,average_feasibility_time,average_cycle_time,average_feasibility_unsettled,average_feasibility_loop,average_feasibility_topo,average_feasibility_recursion,makespan_lower,makespan_upper,soc_lower,soc_upper,average_timestep_time_lower,average_timestep_time_upper,makespan_time_lower,makespan_time_upper,partial_replan_count,partial_replan_time,full_replan_count,full_replan_time,data_points,all_node_pairs,fixed_node_pairs,added_node_pairs
discrete,default,0,10,2,room-32-32-4,0,0,0.1,agent,45.42,26.038,0.0001413786,3.1281848799721874e-06,heuristic,proposed,0.0,7.78,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.834441913946975,46.00555808605303,25.675410647501515,26.400589352498486,0.0,0.0,3.0386607042999746e-06,3.2177090556444003e-06,0,0,0,0,500,0.0,0.0,0.0
discrete,online_opt,0,10,2,room-32-32-4,0,0,0.1,agent,45.46,26.02,0.0027967110000000003,6.0488283061268456e-05,heuristic,proposed,0.001307612,7.78,7.74,30.1,76.54,8.58,0,0,0,0.00013032740773851964,0.00011924406977435964,0.00013064845773851967,0.0,0.0,0.0,0.0,44.87652767877374,46.04347232122626,25.65832873963803,26.38167126036197,0.00011775796089462871,0.00014289685458241058,5.5848466681853567e-05,6.512809944068335e-05,0,0,0,0,500,,,
discrete,replan_1.1,0,10,2,room-32-32-4,0,0,0.1,agent,45.42,26.038,0.000153889,3.411152725947106e-06,heuristic,proposed,0.0,7.78,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.834441913946975,46.00555808605303,25.675410647501515,26.400589352498486,0.0,0.0,3.3201506164604314e-06,3.5021548354337807e-06,0,0,0,0,500,0.0,0.0,0.0
discrete,default,0,10,2,room-32-32-4,0,1,0.1,agent,51.232,29.1706,0.0002219274,4.353263233087702e-06,heuristic,proposed,0.0,8.61,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.53632180385303,51.92767819614697,28.754779813030932,29.586420186969068,0.0,0.0,4.261111825078516e-06,4.445414641096888e-06,0,0,0,0,500,0.0,0.0,0.0
discrete,online_opt,0,10,2,room-32-32-4,0,1,0.1,agent,51.158,29.1026,0.0031354106,6.036772708216804e-05,heuristic,proposed,0.001429042,8.59,8.542,30.204,83.774,10.04,0,0,0,0.0001279738544184541,0.00011249795520746802,0.00012839199600745332,0.0,0.0,0.0,0.0,50.46898747003604,51.84701252996396,28.68754011959011,29.517659880409887,0.00011610279413671668,0.0001398449147001915,5.58686645361668e-05,6.486678962816929e-05,0,0,0,0,500,,,
discrete,replan_1.1,0,10,2,room-32-32-4,0,1,0.1,agent,50.782,29.0216,0.8753832400000001,0.01729192475355472,heuristic,proposed,0.1055650036,8.606,0.0,0.0,0.0,0.0,0,0,0,0.01092395383541738,0.0,0.0,0.0,0.0,0.0,0.0,50.098661339536044,51.46533866046395,28.614192889319106,29.429007110680892,0.010620067392697698,0.011227840278137061,0.017000777309482507,0.01758307219762693,0,0,0,0,500,0.0,0.0,0.0
discrete,default,0,10,2,room-32-32-4,0,10,0.1,agent,57.888,31.251,0.00016289160000000004,2.8933566103587477e-06,heuristic,proposed,0.0,8.544,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.75902866388396,59.016971336116036,30.75137858649693,31.750621413503072,0.0,0.0,2.810795089625073e-06,2.9759181310924223e-06,0,0,0,0,500,0.0,0.0,0.0
discrete,online_opt,0,10,2,room-32-32-4,0,10,0.1,agent,56.554,30.332,0.0034425881999999995,6.0242318409524296e-05,heuristic,proposed,0.0015035392,8.468,8.402,29.674,82.168,10.24,0,0,0,0.00013349400138297073,0.00011595490255340756,0.0001340432799989789,0.0,0.0,0.0,0.0,55.42600335357448,57.681996646425524,29.86479608622179,30.79920391377821,0.00011968200610776476,0.0001473059966581767,5.530942433092282e-05,6.517521248812578e-05,0,0,0,0,500,,,
discrete,replan_1.1,0,10,2,room-32-32-4,0,10,0.1,agent,55.82,30.0322,1.057955704,0.018860160880647632,heuristic,proposed,0.10491704399999999,8.494,0.0,0.0,0.0,0.0,0,0,0,0.01087216826900026,0.0,0.0,0.0,0.0,0.0,0.0,54.691850718660746,56.948149281339255,29.583459688250283,30.480940311749716,0.01056106922993878,0.01118326730806174,0.018417514342691794,0.01930280741860347,0,0,0,0,500,0.0,0.0,0.0
discrete,default,0,10,2,room-32-32-4,0,20,0.1,agent,65.028,33.1172,0.00016566720000000003,2.648386070204334e-06,heuristic,proposed,0.0,8.474,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.57314598394442,66.4828540160556,32.51907504311718,33.71532495688282,0.0,0.0,2.568816598161839e-06,2.727955542246829e-06,0,0,0,0,500,0.0,0.0,0.0
