timing,simulator,obstacles,agents,k_neighbor,map_name,delay_start,delay_interval,delay_ratio,delay_type,makespan,soc,total_time,makespan_time,feasibility,cycle,execution_time,first_agent_arriving,cycle_count,cycle_agents,unblocked_agents,feasibility_count,feasibility_type_a,feasibility_type_b,feasibility_type_c,average_timestep_time,average_feasibility_time,average_cycle_time,average_feasibility_unsettled,average_feasibility_loop,average_feasibility_topo,average_feasibility_recursion,makespan_lower,makespan_upper,soc_lower,soc_upper,average_timestep_time_lower,average_timestep_time_upper,makespan_time_lower,makespan_time_upper,partial_replan_count,partial_replan_time,full_replan_count,full_replan_time,data_points,all_node_pairs,fixed_node_pairs,added_node_pairs
discrete,default,0,10,2,22-57,0,0,0.1,agent,69.12,58.704,0.000149888328,2.170831633760673e-06,heuristic,proposed,0.0,51.02,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.87458646410855,69.36541353589146,58.53447153372011,58.87352846627989,0.0,0.0,2.1167864745587373e-06,2.224876792962609e-06,0,0,0,0,500,0.0,0.0,0.0
discrete,online_opt,0,10,2,22-57,0,0,0.1,agent,69.12,58.704,0.01857111068,0.00026679744989650854,heuristic,proposed,0.0175321996,51.02,50.36,208.56,507.44,51.48,0,0,0,0.0003417568717732842,0.0003373279075691896,0.00034572490656381815,0.0,0.0,0.0,0.0,68.87585057849994,69.36414942150007,58.535019995842006,58.872980004157995,0.0003215544186929461,0.00036195932485362227,0.000251981388504992,0.0002816135112880251,0,0,0,0,500,,,
discrete,replan_1.1,0,10,2,22-57,0,0,0.1,agent,69.12,58.704,0.00014979816000000002,2.170313675456739e-06,heuristic,proposed,0.0,51.02,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.87458646410855,69.36541353589146,58.53447153372011,58.87352846627989,0.0,0.0,2.1189341809468156e-06,2.2216931699666627e-06,0,0,0,0,500,0.0,0.0,0.0
discrete,default,0,10,2,22-57,0,1,0.1,agent,78.28602150537634,65.95204301075269,0.0002534980129032258,3.2378954971211715e-06,heuristic,proposed,0.0,55.821505376344085,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.93703415160329,78.6350088591494,65.74522918175731,66.15885683974807,0.0,0.0,3.186198532335591e-06,3.289592461906752e-06,0,0,0,0,465,0.0,0.0,0.0
discrete,online_opt,0,10,2,22-57,0,1,0.1,agent,78.13548387096775,65.8210752688172,0.02150626901075269,0.0002740791404290017,heuristic,proposed,0.020318974000000004,55.79784946236559,54.96774193548387,207.30107526881721,549.4344086021505,58.40860215053763,0,0,0,0.0003622981345443413,0.0003421378488959097,0.00036666994331582044,0.0,0.0,0.0,0.0,77.78106406530429,78.4899036766312,65.62053941343073,66.02161112420366,0.00033781322952299486,0.0003867830395656878,0.00025665536216422906,0.00029150291869377434,0,0,0,0,465,,,
discrete,replan_1.1,0,10,2,22-57,0,1,0.1,agent,78.6752688172043,66.22881720430108,0.7093343354838709,0.009029105653109692,heuristic,proposed,0.47330614193548387,56.0,0.0,0.0,0.0,0.0,0,0,0,0.008455652766037314,0.0,0.0,0.0,0.0,0.0,0.0,78.31674452352584,79.03379311088275,66.02677334395958,66.43086106464258,0.008362475035616698,0.00854883049645793,0.008940532845492094,0.00911767846072729,0,0,0,0,465,0.0,0.0,0.0
discrete,default,0,10,2,22-57,0,10,0.1,agent,95.75106382978723,70.26829787234044,0.0001911205063829787,2.0188857601076895e-06,heuristic,proposed,0.0,52.636170212765954,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.66243138394114,96.83969627563332,69.90002440584249,70.6365713388384,0.0,0.0,1.9286098059971665e-06,2.1091617142182125e-06,0,0,0,0,470,0.0,0.0,0.0
discrete,online_opt,0,10,2,22-57,0,10,0.1,agent,94.16170212765958,68.66212765957447,0.025313091574468087,0.000269417377068363,heuristic,proposed,0.02408891808510638,52.45957446808511,51.87659574468085,202.48936170212767,506.27872340425535,63.47659574468085,0,0,0,0.0004566039311012475,0.0003748635179008957,0.00046016710153982737,0.0,0.0,0.0,0.0,93.07847497321778,95.24492928210138,68.37464393992298,68.94961137922596,0.0004255100613804403,0.0004876978008220547,0.0002519713335252134,0.00028686342061151263,0,0,0,0,470,,,
discrete,replan_1.1,0,10,2,22-57,0,10,0.1,agent,94.68936170212766,68.63765957446809,0.8251884170212765,0.008770353079896369,heuristic,proposed,0.4550358872340426,52.48936170212766,0.0,0.0,0.0,0.0,0,0,0,0.008673018393456489,0.0,0.0,0.0,0.0,0.0,0.0,93.6152048216276,95.76351858262771,68.35929988743116,68.91601926150501,0.008550808697345773,0.008795228089567205,0.008662094813799969,0.008878611345992769,0,0,0,0,470,0.0,0.0,0.0
discrete,default,0,10,2,22-57,0,20,0.1,agent,104.83369330453564,72.70151187904966,0.00018097715982721383,1.7446465054607978e-06,heuristic,proposed,0.0,52.16198704103672,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.51413865129305,106.15324795777823,72.1852269466391,73.21779681146022,0.0,0.0,1.6954774931629711e-06,1.7938155177586245e-06,0,0,0,0,463,0.0,0.0,0.0
