simulator,agents,timestep,interval,rate,delay_type,value,time,feasibility,cycle,execution_time,first_agent_arriving,cycle_count,cycle_agents,unblocked_agents,feasibility_count,feasibility_type_a,feasibility_type_b,feasibility_type_c,average_timestep_time,average_feasibility_time,average_cycle_time,obstacles
online,20,1,0,0.01,edge,14.971428571428572,0.9024672476190476,heuristic,proposed,0.3545154457142857,5.228571428571429,5.219047619047619,30.504761904761907,104.38095238095238,5.257142857142857,0,0,0,0.07325575626303854,0.07313631816780045,0.07327932578684807,90.0
default,20,1,0,0.01,edge,13.647619047619047,0.0007721038095238095,heuristic,proposed,,,,,,,0,0,0,,,,90.0
online,20,1,0,0.01,edge,14.971428571428572,3.622603857142857,heuristic,semi-naive,2.482566942857143,5.228571428571429,5.219047619047619,30.504761904761907,104.38095238095238,30.6,0,0,0,0.4873500516120388,0.07686199904118171,0.4875351511791383,90.0
online,20,1,0,0.01,edge,14.971428571428572,13.450158571428572,heuristic,naive,7.95953219047619,5.228571428571429,5.228571428571429,101.13333333333334,104.38095238095238,413.0190476190476,0,0,0,1.5966179623479693,0.07599123695984202,1.5966179623479693,90.0
online,20,1,0,0.05,edge,7.3108108108108105,1.1729032702702702,heuristic,proposed,0.27907282972972974,5.878378378378378,5.824324324324325,27.527027027027028,116.79729729729729,5.824324324324325,0,0,0,0.050717882921215415,0.05088733693578193,0.05088733693578193,90.0
default,20,1,0,0.05,edge,6.45945945945946,0.0013586229729729729,heuristic,proposed,,,,,,,0,0,0,,,,90.0
online,20,1,0,0.05,edge,7.3108108108108105,2.0378189864864864,heuristic,semi-naive,1.4489202972972972,5.878378378378378,5.824324324324325,27.527027027027028,116.79729729729729,27.527027027027028,0,0,0,0.26886185494302994,0.05215653866168896,0.26993956150917403,90.0
online,20,1,0,0.05,edge,7.3108108108108105,7.303569729729731,heuristic,naive,4.7984943243243245,5.878378378378378,5.878378378378378,100.05405405405405,116.79729729729729,99.28378378378379,0,0,0,0.8974026034738535,0.05079709227830122,0.8974026034738535,90.0
online,20,5,0,0.01,edge,16.685714285714287,0.2639570285714286,heuristic,proposed,0.1742168,5.628571428571429,5.628571428571429,28.17142857142857,112.57142857142857,5.628571428571429,0,0,0,0.030231977904761908,0.030231977904761908,0.030231977904761908,90.0
default,20,5,0,0.01,edge,16.2,0.0005925914285714285,heuristic,proposed,,,,,,,0,0,0,,,,90.0
online,20,5,0,0.01,edge,16.685714285714287,1.1995888857142856,heuristic,semi-naive,1.0303666857142857,5.628571428571429,5.628571428571429,28.17142857142857,112.57142857142857,28.17142857142857,0,0,0,0.17625409619047622,0.03342582966702828,0.17625409619047622,90.0
online,20,5,0,0.01,edge,16.685714285714287,4.726856857142856,heuristic,naive,3.8979602857142854,5.628571428571429,5.628571428571429,112.25714285714285,112.57142857142857,112.25714285714285,0,0,0,0.6699178952380953,0.033600018375708474,0.6699178952380953,90.0
online,20,5,0,0.05,edge,10.74074074074074,0.3236643703703703,heuristic,proposed,0.14413317037037038,5.481481481481482,5.481481481481482,24.22222222222222,109.62962962962963,5.481481481481482,0,0,0,0.025762668439153445,0.025762668439153445,0.025762668439153445,90.0
default,20,5,0,0.05,edge,10.074074074074074,0.0009162407407407408,heuristic,proposed,,,,,,,0,0,0,,,,90.0
online,20,5,0,0.05,edge,10.74074074074074,0.9112265555555555,heuristic,semi-naive,0.7435711111111112,5.481481481481482,5.481481481481482,24.22222222222222,109.62962962962963,24.22222222222222,0,0,0,0.13235992425044094,0.02935045883208632,0.13235992425044094,90.0
online,20,5,0,0.05,edge,10.74074074074074,4.094077037037037,heuristic,naive,3.256186666666667,5.481481481481482,5.481481481481482,108.62962962962963,109.62962962962963,108.62962962962963,0,0,0,0.5793236234567902,0.029237076016388322,0.5793236234567902,90.0
online,20,10,0,0.01,edge,18.4,0.15956786666666664,heuristic,proposed,0.12008687333333333,5.0,5.0,19.666666666666668,100.0,5.0,0,0,0,0.023207201555555553,0.023207201555555553,0.023207201555555553,90.0
default,20,10,0,0.01,edge,18.2,0.0004806733333333333,heuristic,proposed,,,,,,,0,0,0,,,,90.0
online,20,10,0,0.01,edge,18.4,0.6557970666666666,heuristic,semi-naive,0.52503,5.0,5.0,19.666666666666668,100.0,19.666666666666668,0,0,0,0.10407105555555554,0.02593101800356506,0.10407105555555554,90.0
online,20,10,0,0.01,edge,18.4,3.362803333333333,heuristic,naive,2.6207306666666668,5.0,5.0,100.0,100.0,100.0,0,0,0,0.5062449444444443,0.025312247222222226,0.5062449444444443,90.0
online,20,10,0,0.05,edge,13.6,0.2399248,heuristic,proposed,0.08181582999999999,4.5,4.5,18.5,90.0,4.5,0,0,0,0.018389145,0.018389145,0.018389145,90.0
default,20,10,0,0.05,edge,13.3,0.0007347300000000001,heuristic,proposed,,,,,,,0,0,0,,,,90.0
online,20,10,0,0.05,edge,13.6,0.5122582999999999,heuristic,semi-naive,0.4048423,4.5,4.5,18.5,90.0,18.5,0,0,0,0.09366909,0.021572965294117646,0.09366909,90.0
online,20,10,0,0.05,edge,13.6,2.422269,heuristic,naive,1.739112,4.5,4.5,90.0,90.0,90.0,0,0,0,0.39166750000000006,0.019583375,0.39166750000000006,90.0
