simulator,agents,timestep,interval,rate,delay_type,value,time,feasibility,cycle,execution_time,first_agent_arriving,cycle_count,cycle_agents,unblocked_agents,feasibility_count,feasibility_type_a,feasibility_type_b,feasibility_type_c,obstacles
online,10,1,0,0.1,agent,8.32,0.037228602400000005,heuristic,proposed,0.030472717671999994,8.704,7.992,18.104,85.896,8.336,,,,90.0
default,10,1,0,0.1,agent,7.448,0.00012930932000000003,heuristic,proposed,,,,,,,,,,90.0
online,10,1,0,0.2,agent,7.056,0.04614015471999999,heuristic,proposed,0.032890205959999995,9.28,8.208,17.384,90.808,8.592,,,,90.0
default,10,1,0,0.2,agent,5.64,0.00014176832,heuristic,proposed,,,,,,,,,,90.0
online,10,5,0,0.1,agent,8.544,0.03505014064,heuristic,proposed,0.028885943879999994,8.416,7.784,18.224,83.912,7.784,,,,90.0
default,10,5,0,0.1,agent,7.824,0.00012991943200000002,heuristic,proposed,,,,,,,,,,90.0
online,10,5,0,0.2,agent,7.12,0.044795617759999996,heuristic,proposed,0.030301263215999998,8.488,7.688,17.376,84.16,7.768,,,,90.0
default,10,5,0,0.2,agent,6.152,0.00013888359199999998,heuristic,proposed,,,,,,,,,,90.0
online,10,10,0,0.1,agent,8.848,0.03245606208,heuristic,proposed,0.028485041368,8.16,7.632,18.392,81.552,7.632,,,,90.0
default,10,10,0,0.1,agent,8.576,0.000121398264,heuristic,proposed,,,,,,,,,,90.0
online,10,10,0,0.2,agent,7.752,0.03539710488,heuristic,proposed,0.028792348384,8.32,7.72,18.432,82.992,7.792,,,,90.0
default,10,10,0,0.2,agent,7.392,0.000128050232,heuristic,proposed,,,,,,,,,,90.0
online,20,1,0,0.1,agent,16.04,0.7438369439999999,heuristic,proposed,0.5297993719999999,6.36,6.36,46.152,125.64,6.36,,,,90.0
default,20,1,0,0.1,agent,12.48,0.00028700156799999995,heuristic,proposed,,,,,,,,,,90.0
online,20,1,0,0.2,agent,12.632,0.999814752,heuristic,proposed,0.574843412,6.776,6.776,43.48,132.648,6.936,,,,90.0
default,20,1,0,0.2,agent,8.232,0.00031395703199999994,heuristic,proposed,,,,,,,,,,90.0
online,20,5,0,0.1,agent,15.912,0.7324797999999999,heuristic,proposed,0.48858539360000003,5.976,5.976,45.872,119.192,5.976,,,,90.0
default,20,5,0,0.1,agent,13.568,0.00027717888,heuristic,proposed,,,,,,,,,,90.0
online,20,5,0,0.2,agent,12.912,0.842429992,heuristic,proposed,0.48627372640000005,6.072,6.072,45.176,120.96,6.072,,,,90.0
default,20,5,0,0.2,agent,10.0,0.0002938076399999999,heuristic,proposed,,,,,,,,,,90.0
online,20,10,0,0.1,agent,16.992,0.597312824,heuristic,proposed,0.43639524240000005,5.92,5.92,46.936,118.304,5.92,,,,90.0
default,20,10,0,0.1,agent,15.84,0.000246067608,heuristic,proposed,,,,,,,,,,90.0
online,20,10,0,0.2,agent,14.384,0.661543376,heuristic,proposed,0.4489046344,5.92,5.92,46.784,118.264,5.92,,,,90.0
default,20,10,0,0.2,agent,12.784,0.0002627111679999999,heuristic,proposed,,,,,,,,,,90.0
online,10,1,0,0.1,agent,8.2,0.04268196832000001,heuristic,proposed,0.02026385536,7.216,6.968,18.784,71.416,7.192,,,,180.0
default,10,1,0,0.1,agent,7.496,0.00013386424800000002,heuristic,proposed,,,,,,,,,,180.0
online,10,1,0,0.2,agent,6.744,0.05061862232,heuristic,proposed,0.022794857439999996,8.024,7.64,18.84,78.096,8.024,,,,180.0
default,10,1,0,0.2,agent,5.768,0.00014338775200000003,heuristic,proposed,,,,,,,,,,180.0
online,10,5,0,0.1,agent,8.344,0.033681502720000006,heuristic,proposed,0.0188863164,7.144,6.864,19.272,71.184,6.88,,,,180.0
default,10,5,0,0.1,agent,7.896,0.000129778888,heuristic,proposed,,,,,,,,,,180.0
online,10,5,0,0.2,agent,6.744,0.05834379279999999,heuristic,proposed,0.019628841840000005,7.184,6.848,18.528,71.256,6.888,,,,180.0
default,10,5,0,0.2,agent,6.088,0.00014053920000000003,heuristic,proposed,,,,,,,,,,180.0
online,10,10,0,0.1,agent,8.896,0.02670405784,heuristic,proposed,0.019268543039999995,6.968,6.76,19.528,69.608,6.76,,,,180.0
default,10,10,0,0.1,agent,8.752,0.00011960649599999998,heuristic,proposed,,,,,,,,,,180.0
online,10,10,0,0.2,agent,7.64,0.029944175519999994,heuristic,proposed,0.019207003519999995,7.104,6.864,19.72,70.944,6.864,,,,180.0
default,10,10,0,0.2,agent,7.432,0.00012662064,heuristic,proposed,,,,,,,,,,180.0
online,20,1,0,0.1,agent,15.216666666666667,1.2582909241666664,heuristic,proposed,0.62229164,5.083333333333333,5.083333333333333,42.975,100.375,5.25,,,,180.0
default,20,1,0,0.1,agent,12.058333333333334,0.00027992854999999995,heuristic,proposed,,,,,,,,,,180.0
online,20,1,0,0.2,agent,11.791666666666666,1.8679610591666669,heuristic,proposed,0.6781725616666667,5.641666666666667,5.641666666666667,42.45,110.2,6.225,,,,180.0
default,20,1,0,0.2,agent,8.241666666666667,0.0003036307583333334,heuristic,proposed,,,,,,,,,,180.0
online,20,5,0,0.1,agent,15.533333333333333,1.0835405433333334,heuristic,proposed,0.58745922,4.975,4.975,44.31666666666667,98.85833333333333,4.975,,,,180.0
default,20,5,0,0.1,agent,13.308333333333334,0.000270072725,heuristic,proposed,,,,,,,,,,180.0
online,20,5,0,0.2,agent,12.55,1.3744661216666667,heuristic,proposed,0.6067641283333334,4.991666666666666,4.991666666666666,42.916666666666664,98.90833333333333,5.041666666666667,,,,180.0
default,20,5,0,0.2,agent,10.141666666666667,0.0002888446666666667,heuristic,proposed,,,,,,,,,,180.0
online,20,10,0,0.1,agent,16.508333333333333,0.9280147375000001,heuristic,proposed,0.5837092300000001,4.908333333333333,4.908333333333333,45.43333333333333,98.05,4.908333333333333,,,,180.0
default,20,10,0,0.1,agent,15.516666666666667,0.0002456205583333333,heuristic,proposed,,,,,,,,,,180.0
online,20,10,0,0.2,agent,13.691666666666666,1.0140439508333334,heuristic,proposed,0.5874591591666667,4.933333333333334,4.933333333333334,45.46666666666667,98.54166666666667,4.933333333333334,,,,180.0
default,20,10,0,0.2,agent,12.308333333333334,0.00026621355833333335,heuristic,proposed,,,,,,,,,,180.0
online,10,1,0,0.1,agent,7.843478260869565,0.4079974250434783,heuristic,proposed,0.23389456243478263,11.208695652173914,11.191304347826087,46.19130434782609,109.48695652173913,12.391304347826088,,,,270.0
default,10,1,0,0.1,agent,6.3478260869565215,0.00016389944347826088,heuristic,proposed,,,,,,,,,,270.0
online,10,1,0,0.2,agent,6.417391304347826,0.5111586780869565,heuristic,proposed,0.25504872295652176,11.730434782608695,11.678260869565218,43.54782608695652,112.85217391304347,13.808695652173913,,,,270.0
default,10,1,0,0.2,agent,4.426086956521739,0.0001731044695652174,heuristic,proposed,,,,,,,,,,270.0
online,10,5,0,0.1,agent,7.913043478260869,0.32655751800000005,heuristic,proposed,0.21718118286956523,10.991304347826087,10.939130434782609,46.96521739130435,107.73913043478261,11.773913043478261,,,,270.0
default,10,5,0,0.1,agent,6.956521739130435,0.00015770444347826092,heuristic,proposed,,,,,,,,,,270.0
online,10,5,0,0.2,agent,5.991304347826087,0.5145797720869565,heuristic,proposed,0.23521261860869563,11.556521739130435,11.42608695652174,44.982608695652175,111.10434782608695,13.721739130434782,,,,270.0
default,10,5,0,0.2,agent,4.904347826086957,0.00016850306956521735,heuristic,proposed,,,,,,,,,,270.0
online,10,10,0,0.1,agent,8.147826086956522,0.28430972573913044,heuristic,proposed,0.20928669339130437,10.878260869565217,10.834782608695653,48.12173913043478,107.7304347826087,10.921739130434782,,,,270.0
default,10,10,0,0.1,agent,7.6347826086956525,0.00014921516521739135,heuristic,proposed,,,,,,,,,,270.0
online,10,10,0,0.2,agent,6.608695652173913,0.31498832730434784,heuristic,proposed,0.21273658417391306,11.034782608695652,10.921739130434782,47.12173913043478,108.29565217391304,11.347826086956522,,,,270.0
default,10,10,0,0.2,agent,5.878260869565217,0.0001605100260869565,heuristic,proposed,,,,,,,,,,270.0
online,20,1,0,0.1,agent,14.6375,6.7258034124999995,heuristic,proposed,3.4397701624999995,6.8375,6.8375,76.2625,133.525,7.4375,,,,270.0
default,20,1,0,0.1,agent,11.3125,0.00029529968749999997,heuristic,proposed,,,,,,,,,,270.0
online,20,1,0,0.2,agent,10.4,9.3412948,heuristic,proposed,3.4532539625,7.6125,7.6125,74.8,144.7375,9.2625,,,,270.0
default,20,1,0,0.2,agent,6.875,0.00031359237500000004,heuristic,proposed,,,,,,,,,,270.0
online,20,5,0,0.1,agent,14.0125,6.582032825000001,heuristic,proposed,2.5490173375,5.9875,5.9875,70.725,118.4,6.0625,,,,270.0
default,20,5,0,0.1,agent,11.275,0.0002798803375,heuristic,proposed,,,,,,,,,,270.0
online,20,5,0,0.2,agent,10.4375,8.222425687500001,heuristic,proposed,2.6947992750000003,6.3875,6.3875,72.175,125.6375,6.6375,,,,270.0
default,20,5,0,0.2,agent,7.7,0.0002942371375,heuristic,proposed,,,,,,,,,,270.0
online,20,10,0,0.1,agent,15.2875,4.506686125,heuristic,proposed,2.4157585499999996,5.9875,5.9875,73.675,119.4625,5.9875,,,,270.0
default,20,10,0,0.1,agent,13.7375,0.0002457432625,heuristic,proposed,,,,,,,,,,270.0
online,20,10,0,0.2,agent,11.5375,5.375431262499999,heuristic,proposed,2.44794115,6.0375,6.0375,74.1,120.4,6.0625,,,,270.0
default,20,10,0,0.2,agent,10.075,0.00026497147499999997,heuristic,proposed,,,,,,,,,,270.0
online,10,1,0,0.1,edge,1.68,0.04493433904000001,heuristic,proposed,0.03615020888000001,7.2,16.608,22.76,474.664,26.16,,,,90.0
default,10,1,0,0.1,edge,1.52,0.00022980299199999997,heuristic,proposed,,,,,,,,,,90.0
online,10,1,0,0.2,edge,0.52,0.034105678384000006,heuristic,proposed,0.030752205096000004,3.008,14.888,18.688,1171.568,24.192,,,,90.0
default,10,1,0,0.2,edge,0.496,0.00024245523200000003,heuristic,proposed,,,,,,,,,,90.0
online,10,5,0,0.1,edge,2.672,0.03835041,heuristic,proposed,0.030404795231999994,8.752,10.84,20.368,191.288,13.904,,,,90.0
default,10,5,0,0.1,edge,2.496,0.00021054354400000001,heuristic,proposed,,,,,,,,,,90.0
online,10,5,0,0.2,edge,1.272,0.036723118448000004,heuristic,proposed,0.033971140032000004,4.832,16.112,24.384,698.36,25.024,,,,90.0
default,10,5,0,0.2,edge,1.256,0.00023873409600000002,heuristic,proposed,,,,,,,,,,90.0
online,10,10,0,0.1,edge,4.248,0.031450440319999995,heuristic,proposed,0.027866543856000004,8.224,9.248,19.912,112.632,10.728,,,,90.0
default,10,10,0,0.1,edge,4.16,0.00020415402400000002,heuristic,proposed,,,,,,,,,,90.0
online,10,10,0,0.2,edge,2.76,0.03253949095999999,heuristic,proposed,0.028941011472,6.864,12.104,22.496,263.336,16.512,,,,90.0
default,10,10,0,0.2,edge,2.736,0.00023100615199999995,heuristic,proposed,,,,,,,,,,90.0
online,20,1,0,0.1,edge,2.5700934579439254,0.9086489439252337,heuristic,proposed,0.5979655570093458,6.514018691588785,13.102803738317757,46.52336448598131,499.6542056074766,19.30841121495327,,,,90.0
default,20,1,0,0.1,edge,2.1401869158878504,0.0004180384953271028,heuristic,proposed,,,,,,,,,,90.0
online,20,1,0,0.2,edge,0.6902654867256637,0.812307831858407,heuristic,proposed,0.6909972920353982,2.8584070796460175,21.460176991150444,45.424778761061944,2010.504424778761,35.415929203539825,,,,90.0
default,20,1,0,0.2,edge,0.6637168141592921,0.00044231692920353985,heuristic,proposed,,,,,,,,,,90.0
online,20,5,0,0.1,edge,4.4,0.7160972272727272,heuristic,proposed,0.43257625454545456,5.954545454545454,6.263636363636364,44.82727272727273,182.35454545454544,6.409090909090909,,,,90.0
default,20,5,0,0.1,edge,4.0636363636363635,0.00040933842727272716,heuristic,proposed,,,,,,,,,,90.0
online,20,5,0,0.2,edge,2.118181818181818,0.6283176909090908,heuristic,proposed,0.43899208818181823,5.090909090909091,10.090909090909092,46.836363636363636,530.9454545454546,13.581818181818182,,,,90.0
default,20,5,0,0.2,edge,2.0636363636363635,0.0004436228909090909,heuristic,proposed,,,,,,,,,,90.0
