simulator,obstacles,agents,timestep,interval,rate,delay_type,makespan,value,time,feasibility,cycle,execution_time,first_agent_arriving,cycle_count,cycle_agents,unblocked_agents,feasibility_count,feasibility_type_a,feasibility_type_b,feasibility_type_c,average_timestep_time,average_feasibility_time,average_cycle_time,average_feasibility_unsettled,average_feasibility_loop,average_feasibility_topo,average_feasibility_recursion,value_lower,value_upper,average_timestep_time_lower,average_timestep_time_upper
online,90,10,1,1,0.1,agent,38.972312703583064,21.88599348534202,0.0034356827996742667,heuristic,proposed,0.0023278106563517915,7.723127035830619,6.700325732899023,14.791530944625407,76.39902280130293,6.907166123778501,0,0,0,0.00027090283419319266,0.0002879495105949453,0.0002940963443995429,21.629701149940708,11.847631522377455,157.4766734949041,0.0,21.571441185299864,22.200545785384175,0.0002452505320802243,0.000296555136306161
replan,90,10,1,1,0.1,agent,38.9071661237785,21.91172638436482,0.2852669885993485,heuristic,proposed,0.04316290375081433,7.737785016286645,,,,,0,0,0,0.005125170081907761,,,,,,,21.600194391090227,22.22325837763941,0.004970362722547905,0.005279977441267617
default,90,10,1,1,0.1,agent,39.02605863192182,21.91840390879479,0.00028150399022801304,heuristic,proposed,0.0,7.728013029315961,,,,,0,0,0,,,,,,,,21.60089006336028,22.235917754229302,,
prioritized,90,10,1,1,0.1,agent,42.1742671009772,23.92198697068404,0.121198154723127,heuristic,proposed,0.027060964008143323,7.894136807817589,,,,,0,0,0,0.0032343463690885834,,,,,,,23.508683218303847,24.33529072306423,0.0030961497443609226,0.0033725429938162442
online,90,10,1,1,0.2,agent,44.3626220362622,24.884518828451878,0.0038150916108786606,heuristic,proposed,0.0025891506080892605,8.556485355648535,7.235704323570432,15.059972105997211,84.36541143654114,7.564853556485356,0,0,0,0.00027317811079426537,0.0002919776408766932,0.00030276563230375794,22.072548750563612,11.918181344973048,159.85080669318555,0.0,24.564638942756606,25.20439871414715,0.0002503788925790944,0.00029597732900943634
replan,90,10,1,1,0.2,agent,44.25383542538354,24.88117154811715,0.299743340306834,heuristic,proposed,0.046083191087866106,8.598326359832637,,,,,0,0,0,0.00500392824029836,,,,,,,24.56558581008411,25.196757286150188,0.004889950290732471,0.005117906189864249
default,90,10,1,1,0.2,agent,44.467224546722456,24.94225941422594,0.00031544401952580194,heuristic,proposed,0.0,8.576011157601116,,,,,0,0,0,,,,,,,,24.618372272931705,25.266146555520177,,
prioritized,90,10,1,1,0.2,agent,47.668061366806135,27.141004184100417,0.1742185668061367,heuristic,proposed,0.03267975736401674,8.850767085076708,,,,,0,0,0,0.0034930887307378145,,,,,,,26.724927501657277,27.557080866543558,0.0033749824930378813,0.003611194968437748
online,90,10,1,1,0.3,agent,51.470914127423825,28.590166204986147,0.003855931786703601,heuristic,proposed,0.0025785244792243768,9.696675900277008,7.82409972299169,14.95152354570637,95.40443213296399,8.218836565096954,0,0,0,0.00024439905606468183,0.0002706836968617975,0.00027889479222727203,21.239532379644313,11.421251776799282,154.92364006004755,0.0,28.224048786924854,28.95628362304744,0.0002226641641754279,0.0002661339479539357
replan,90,10,1,1,0.3,agent,51.32963988919668,28.554432132963992,0.33929912880886426,heuristic,proposed,0.0529322595567867,9.685595567867036,,,,,0,0,0,0.00506541905409487,,,,,,,28.194490253396054,28.91437401253193,0.004959662725139116,0.005171175383050623
default,90,10,1,1,0.3,agent,51.81163434903047,28.7578947368421,0.0003551696869806094,heuristic,proposed,0.0,9.738227146814404,,,,,0,0,0,,,,,,,,28.384586582180827,29.131202891503374,,
prioritized,90,10,1,1,0.3,agent,54.61357340720222,30.89764542936288,0.22676294736842106,heuristic,proposed,0.04154293502770084,10.124653739612189,,,,,0,0,0,0.003765248767330689,,,,,,,30.437295040779826,31.35799581794593,0.0036340656811753,0.0038964318534860784
online,90,10,1,10,0.1,agent,42.89953810623557,22.970207852193997,0.003168647195150116,heuristic,proposed,0.0021782013729792146,7.722863741339492,6.747113163972286,14.97459584295612,76.03464203233257,6.972286374133949,0,0,0,0.0002616628602796047,0.00027897858829346785,0.0002844284693015354,23.08223289185244,12.47137814141655,169.81497643994405,0.0,22.700136814034188,23.240278890353807,0.00024201459251650892,0.00028131112804270043
replan,90,10,1,10,0.1,agent,42.58660508083141,22.846420323325635,0.30622994919168595,heuristic,proposed,0.04185791297690531,7.7297921478060045,,,,,0,0,0,0.005085913581543192,,,,,,,22.58582821601886,23.10701243063241,0.004970441788216304,0.0052013853748700805
default,90,10,1,10,0.1,agent,43.8337182448037,23.605658198614318,0.00012962261200923788,heuristic,proposed,0.0,7.747113163972286,,,,,0,0,0,,,,,,,,23.310880905379406,23.90043549184923,,
prioritized,90,10,1,10,0.1,agent,46.07274826789838,24.92321016166282,0.14455096351039262,heuristic,proposed,0.02566070940300231,7.786374133949192,,,,,0,0,0,0.0031227372335312013,,,,,,,24.555290394920092,25.291129928405546,0.0030175410247317643,0.0032279334423306384
online,90,10,1,10,0.2,agent,55.17632241813602,27.225692695214107,0.003717420445843829,heuristic,proposed,0.0025106864534005036,8.164987405541561,6.938287153652393,14.535264483627204,79.61712846347606,7.230478589420655,0,0,0,0.00028301456104155886,0.000306306405844908,0.0003134611304113264,23.042721656738333,12.271446328339533,168.38666761009964,0.0,26.894027261839575,27.55735812858864,0.0002596563634674429,0.0003063727586156748
replan,90,10,1,10,0.2,agent,54.73929471032746,26.919143576826194,0.3758858438287154,heuristic,proposed,0.043307319370277084,8.100755667506297,,,,,0,0,0,0.005022793924434692,,,,,,,26.605473244457027,27.23281390919536,0.004909829058176533,0.005135758790692851
default,90,10,1,10,0.2,agent,56.93702770780856,28.694332493702767,0.00014880160579345089,heuristic,proposed,0.0,8.303526448362721,,,,,0,0,0,,,,,,,,28.291314357479635,29.0973506299259,,
prioritized,90,10,1,10,0.2,agent,60.69647355163728,31.08816120906801,0.2341440118387909,heuristic,proposed,0.030589430144836276,8.394206549118389,,,,,0,0,0,0.0034556059230262644,,,,,,,30.586370454759486,31.58995196337653,0.0032795742741227227,0.003631637571929806
online,90,10,1,10,0.3,agent,65.8318002628121,32.22917214191853,0.0038715385111695133,heuristic,proposed,0.002482910532194481,8.646517739816032,7.0131406044678055,13.626806833114323,83.77398160315374,7.503285151116952,0,0,0,0.0002685855079372774,0.0002954564809253764,0.0003061087300994313,23.13157268638471,12.065692512910509,169.56257834459433,0.0,31.78970334527672,32.668640938560344,0.00024494882464369625,0.0002922221912308586
replan,90,10,1,10,0.3,agent,65.30486202365309,31.66373193166886,0.4542457109067017,heuristic,proposed,0.04733524850197109,8.486202365308804,,,,,0,0,0,0.005090812622797358,,,,,,,31.251961650794847,32.07550221254287,0.004962639600087795,0.005218985645506921
default,90,10,1,10,0.3,agent,68.60972404730617,34.47069645203679,0.00015993542444152432,heuristic,proposed,0.0,8.872536136662287,,,,,0,0,0,,,,,,,,33.904706253304376,35.036686650769205,,
prioritized,90,10,1,10,0.3,agent,75.37582128777923,37.87082785808147,0.32933411957950065,heuristic,proposed,0.038476612800262815,9.253613666228647,,,,,0,0,0,0.0038779452633218117,,,,,,,37.14401212628048,38.59764358988246,0.0036970728171118045,0.004058817709531819
