simulator,agents,timestep,interval,rate,delay_type,value,time,feasibility,cycle,execution_time,first_agent_arriving,cycle_count,cycle_agents,unblocked_agents,feasibility_count,feasibility_type_a,feasibility_type_b,feasibility_type_c,average_timestep_time,average_feasibility_time,average_cycle_time,obstacles
online,10,1,10,0.1,agent,42.898,0.057102354126,heuristic,proposed,0.046614796257999996,7.832,6.936,15.186,77.635,7.135,0.9363936085521049,0.06360639144789514,0,0.005436078124803252,inf,inf,90.0
default,10,1,10,0.1,agent,43.727,0.000129522661,heuristic,proposed,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,10,0.1,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,10,0.1,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,10,0.1,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,10,0.2,agent,55.396,0.062415777453999996,heuristic,proposed,0.048966568226,8.281,7.063,14.491,81.348,7.504,0.9017685484036749,0.09823145159632503,0,0.005378539184548622,inf,inf,90.0
default,10,1,10,0.2,agent,56.709,0.000139589631,heuristic,proposed,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,10,0.2,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,10,0.2,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,10,0.2,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,10,0.3,agent,65.823,0.06954260243999999,heuristic,proposed,0.052249806233000004,8.934,7.281,13.907,87.025,8.04,0.8619395087582374,0.1380604912417626,0,0.005312919708489268,inf,inf,90.0
default,10,1,10,0.3,agent,67.624,0.00014816845899999996,heuristic,proposed,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,10,0.3,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,10,0.3,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,10,0.3,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,20,0.1,agent,50.1,0.057273980510999994,heuristic,proposed,0.046017037323000005,7.753,6.881,15.106,76.748,7.066,0.9253999117877432,0.0746000882122569,0,0.005428929534252957,inf,inf,90.0
default,10,1,20,0.1,agent,52.688,0.000123464372,heuristic,proposed,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,20,0.1,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,20,0.1,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,20,0.1,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,20,0.2,agent,71.842,0.06464583317599999,heuristic,proposed,0.048581260714,8.087,6.928,14.245,79.273,7.313,0.857277203836369,0.1427227961636311,0,0.005449698080186482,inf,inf,90.0
default,10,1,20,0.2,agent,76.929,0.00013599120400000002,heuristic,proposed,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,20,0.2,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,20,0.2,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,20,0.2,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,20,0.3,agent,85.505,0.07331547202000001,heuristic,proposed,0.051634679225,8.698,7.107,13.535,84.343,7.793,0.805968031249672,0.19403196875032797,0,0.005406164060756898,inf,inf,90.0
default,10,1,20,0.3,agent,91.649,0.00014473522899999998,heuristic,proposed,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,20,0.3,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,20,0.3,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,20,0.3,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,30,0.1,agent,60.555,0.057897388468,heuristic,proposed,0.046060777084,7.753,6.881,15.106,76.748,7.066,0.9117499722429869,0.08825002775701304,0,0.005423601520415987,inf,inf,90.0
default,10,1,30,0.1,agent,64.606,0.000123888443,heuristic,proposed,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,30,0.1,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,30,0.1,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,30,0.1,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,90.0
