simulator,obstacles,agents,timestep,interval,rate,delay_type,map_seed,agent_seed,value,value_lower,value_upper,execution_time,first_agent_arriving,average_timestep_time,average_timestep_time_lower,average_timestep_time_upper
replan,90,20,1,1,0.1,agent,0,0,22.305,22.046276505215403,22.563723494784597,0.03747948,6.6,0.005673290119047619,0.005330555739925711,0.006016024498169527
replan,90,20,1,1,0.1,agent,0,1,21.860000000000003,21.67239394812788,22.047606051872126,0.09765407000000001,10.1,0.00964922190909091,0.007397110454036109,0.01190133336414571
replan,90,20,1,1,0.1,agent,0,2,20.87,20.647458712190126,21.092541287809876,0.021847299999999997,4.5,0.004829590833333333,0.0046588596755468325,0.005000321991119833
replan,90,20,1,1,0.1,agent,0,3,29.630000000000003,29.436868355231613,29.82313164476839,0.036683969999999996,6.3,0.0058567175,0.004628877385423205,0.007084557614576795
replan,90,20,1,1,0.1,agent,0,4,24.375,24.22115668032427,24.52884331967573,0.031707479999999996,6.4,0.004949078571428572,0.00474131192244698,0.005156845220410164
replan,90,20,1,1,0.1,agent,0,5,21.12,20.938243652966875,21.301756347033127,0.011228559999999999,3.1,0.0036162308333333336,0.0035287767267308,0.003703684939935867
replan,90,20,1,1,0.1,agent,0,6,22.145000000000003,22.033857179967132,22.256142820032874,0.04430436,8.3,0.005332602916666667,0.005108285509649437,0.0055569203236838964
replan,90,20,1,1,0.1,agent,0,7,23.250000000000004,23.08138876027744,23.418611239722566,0.01949972,4.4,0.00440547,0.004243539064482245,0.0045674009355177545
replan,90,20,1,1,0.1,agent,0,8,23.555,23.38600981082766,23.72399018917234,0.011478411,2.3,0.0048590905000000005,0.004335206942083523,0.0053829740579164785
replan,90,20,1,1,0.1,agent,0,9,21.509999999999998,21.319387249362805,21.70061275063719,0.029483939999999997,5.3,0.005497167999999999,0.004817348419199086,0.006176987580800913
replan,90,20,1,1,0.1,agent,1,0,21.689999999999998,21.580987910912565,21.79901208908743,0.025924099999999995,5.6,0.004617586142857143,0.004483321341842849,0.004751850943871436
replan,90,20,1,1,0.1,agent,1,1,27.98,27.834759252896102,28.1252407471039,0.05914402,9.6,0.006146329787878788,0.005969610128824099,0.006323049446933477
replan,90,20,1,1,0.1,agent,1,2,24.014999999999997,23.69461645960584,24.335383540394155,0.04125427,8.1,0.005096531646825397,0.0049042618238732015,0.005288801469777592
replan,90,20,1,1,0.1,agent,1,3,27.355,27.195530844616215,27.514469155383786,0.025873180000000003,5.4,0.004782826285714287,0.0046110529147417225,0.004954599656686851
replan,90,20,1,1,0.1,agent,1,4,23.07,22.87686835523161,23.26313164476839,0.05448788,7.5,0.007281775535714285,0.006627949721195838,0.007935601350232734
replan,90,20,1,1,0.1,agent,1,5,19.81,19.651111302658833,19.968888697341164,0.01132917,3.1,0.003642678333333334,0.0035374129309076415,0.0037479437357590263
replan,90,20,1,1,0.1,agent,1,6,19.32,19.200535634682506,19.439464365317495,0.02111988,5.2,0.004032779833333334,0.0038919134680039536,0.004173646198662714
replan,90,20,1,1,0.1,agent,1,7,20.919999999999998,20.703940633704526,21.13605936629547,0.0,1.0,,,
replan,90,20,1,1,0.1,agent,1,8,28.735000000000003,28.500727439324653,28.969272560675353,0.05189393,10.0,0.005174069515151515,0.005010034621482993,0.0053381044088200375
replan,90,20,1,1,0.1,agent,1,9,23.765,23.590546431543764,23.939453568456237,0.027790550000000004,4.6,0.0059902929285714284,0.005674951193517664,0.006305634663625193
replan,90,20,1,1,0.1,agent,2,0,19.8,19.580157840091292,20.01984215990871,0.011305405,3.2,0.0035196641666666666,0.0034146855115284487,0.0036246428218048845
replan,90,20,1,1,0.1,agent,2,1,24.91,24.76127762231229,25.05872237768771,0.05757714999999999,9.5,0.006047573472222222,0.005917284279863103,0.006177862664581341
replan,90,20,1,1,0.1,agent,2,2,21.354999999999997,21.16765933016698,21.542340669833013,0.035466399999999995,7.3,0.00485827,0.004765705634670238,0.0049508343653297615
replan,90,20,1,1,0.1,agent,2,3,28.1,27.87951219359127,28.32048780640873,0.03030744,6.3,0.004810386011904762,0.004664479880526512,0.0049562921432830115
replan,90,20,1,1,0.1,agent,2,4,23.720000000000002,23.50394063370453,23.936059366295474,0.01681937,3.3,0.0050900116666666665,0.0049873428826691145,0.0051926804506642185
replan,90,20,1,1,0.1,agent,2,5,21.095000000000002,20.94005186670767,21.249948133292335,0.012046049999999999,3.1,0.0038752091666666663,0.0037540794693731792,0.003996338863960154
replan,90,20,1,1,0.1,agent,2,6,22.990000000000002,22.7949640912162,23.185035908783803,0.02584621,4.7,0.005481476333333333,0.005337895839808975,0.0056250568268576915
replan,90,20,1,1,0.1,agent,2,7,23.975,23.77249095178999,24.177509048210013,0.006247889000000001,2.1,0.0029343245000000005,0.002714992367780022,0.003153656632219979
replan,90,20,1,1,0.1,agent,2,8,22.28,22.036124955486727,22.523875044513275,0.037266850000000004,6.2,0.006012123571428571,0.005836369674062732,0.006187877468794411
replan,90,20,1,1,0.1,agent,2,9,22.954999999999995,22.77940938507606,23.13059061492393,0.029170240000000004,5.5,0.005271730142857143,0.005070616318694722,0.005472843967019565
replan,90,20,1,1,0.1,agent,3,0,20.205000000000002,19.959237911352105,20.4507620886479,0.006567555,2.3,0.0026993591666666667,0.0022335519590659654,0.003165166374267368
